pregunta,respuesta1,respuesta2,respuesta3,respuesta_correcta
¿Qué marca de autos produce el modelo Mustang?,Chevrolet,Dodge,Tesla,Ford
¿En qué país se fabrican tradicionalmente los autos de Ferrari?,Francia,Alemania,España,Italia
¿Cuál es el nombre del primer auto producido en masa?,Volkswagen Beetle,Mercedes-Benz 300SL,Renault 4CV,Ford Model T
¿Qué marca tiene como logotipo un toro?,Ferrari,Bugatti,Maserati,Lamborghini
¿Qué empresa automotriz fabrica el modelo Corolla?,Honda,Mazda,Nissan,Toyota
¿Qué auto es conocido como el 'Escarabajo'?,Fiat,Chevrolet,Peugeot,Volkswagen
¿En qué década se introdujo el primer automóvil eléctrico?,1890,1900,1910,1880
¿Qué marca es famosa por su modelo '911'?,Audi,bolivia,Jaguar,Porsche
¿Cuál es el país de origen de la marca Volvo?,Alemania,Noruega,Dinamarca,Suecia
¿Qué auto deportivo apareció en la saga de películas Rápido y Furioso?,Toyota Supra,Mazda RX-7,Ford Mustang,Nissan Skyline GT-R
