pregunta,respuesta 1,respuesta 2,respuesta 3,respuesta_correcta
¿Cuál es el planeta más cercano al sol?,Marte,Mercurio,Venus,Mercurio
¿Quién pintó la Mona Lisa?,Tulis,Miguel Ángel,Van Gogh,Leonardo da Vinci
¿Cuál es la capital de Japón?,Pekín,Tokio,Seúl,Tokio
¿Qué gas respiran las plantas por la noche?,Oxígeno,Nitrógeno,Dióxido de Carbono,Dióxido de Carbono
¿Cuál es el océano más grande del mundo?,Atlántico,Índico,Pacífico,Pacífico
¿Quién escribió "Don Quijote de la Mancha"?,Gabriel García Márquez,Miguel de Cervantes,Pablo Neruda,Miguel de Cervantes
¿Cuánto es 9 x 8?,72,81,63,72
¿Qué elemento químico tiene como símbolo "H"?,Helio,Hidrógeno,Hierro,Hidrógeno
¿Cuál es el idioma más hablado en el mundo?,Inglés,Mandarín,Español,Mandarín
¿Qué animal es conocido como el "rey de la selva"?,León,Tigre,Elefante,León
